trace,instructions,short,ipc,mpki,accuracy,conditional_mpki,conditional_pct,indirect_mpki,indirect_pct,return_mpki,return_pct,direct_mpki,direct_pct
706.stockfish_r.sp0,200000000,,1.4382,5.1316,,4.8682,94.87,0.2166,4.22,0.034,0.66,0.0128,0.25
706.stockfish_r.sp1,200000003,,1.3714,5.8274,,5.5713,95.61,0.2095,3.59,0.0402,0.69,0.0064,0.11
706.stockfish_r.sp2,200000001,,1.4158,5.0612,,4.8553,95.93,0.1793,3.54,0.0186,0.37,0.008,0.16
707.ntest_r.sp0,200000001,,1.7941,2.2076,,2.1868,99.06,0.0002,0.01,0.0206,0.93,0.0,0.0
707.ntest_r.sp1,200000004,,1.7845,2.3574,,2.33,98.84,0.0002,0.01,0.0271,1.15,0.0,0.0
707.ntest_r.sp2,200000004,,1.7691,0.6608,,0.6586,99.67,0.0002,0.03,0.0019,0.29,0.0001,0.01
708.sqlite_r.sp0,200000000,,1.1449,0.0214,,0.0214,99.86,0.0,0.05,0.0,0.02,0.0,0.07
708.sqlite_r.sp1,200000004,,1.1383,2.7887,,2.014,72.22,0.6665,23.9,0.104,3.73,0.0041,0.15
708.sqlite_r.sp2,200000002,,1.7717,0.6646,,0.6083,91.54,0.0512,7.71,0.004,0.6,0.001,0.15
710.omnetpp_r.sp0,200000002,,1.0521,7.0408,,6.8946,97.92,0.1432,2.03,0.0017,0.02,0.0013,0.02
710.omnetpp_r.sp2,200000003,,0.7967,6.3877,,2.6753,41.88,1.8494,28.95,1.0291,16.11,0.8339,13.05
714.cpython_r.sp0,200000004,,1.9212,2.3508,,0.0035,0.15,2.3457,99.78,0.001,0.04,0.0007,0.03
714.cpython_r.sp1,200000001,,1.9595,3.1513,,0.9699,30.78,1.2926,41.02,0.4847,15.38,0.404,12.82
721.gcc_r.sp1,200000001,,1.278,4.7627,,4.0361,84.74,0.2622,5.51,0.2615,5.49,0.2028,4.26
723.llvm_r.sp1,200000001,,1.3009,10.7439,,7.3819,68.71,1.0099,9.4,0.5431,5.05,1.809,16.84
723.llvm_r.sp2,200000003,,1.8768,0.9584,,0.7407,77.28,0.1843,19.23,0.0014,0.15,0.032,3.34
727.cppcheck_r.sp1,200000004,,0.5432,0.8386,,0.2722,32.47,0.4766,56.83,0.0537,6.4,0.0361,4.3
727.cppcheck_r.sp2,200000001,,1.2977,0.1861,,0.1781,95.71,0.0069,3.69,0.0003,0.14,0.0009,0.47
729.abc_r.sp0,200000003,,1.2312,10.9956,,10.9953,100.0,0.0001,0.0,0.0,0.0,0.0001,0.0
729.abc_r.sp2,200000004,,1.2263,8.6043,,8.6039,99.99,0.0002,0.0,0.0001,0.0,0.0002,0.0
734.vpr_r.sp0,200000000,,2.1167,2.1923,,2.1922,100.0,0.0,0.0,0.0,0.0,0.0,0.0
734.vpr_r.sp1,200000003,,0.5382,3.4562,,2.0656,59.76,1.2833,37.13,0.0008,0.02,0.1065,3.08
735.gem5_r.sp1,200000004,,1.4605,2.6919,,0.6343,23.56,0.8544,31.74,1.1131,41.35,0.0901,3.35
750.sealcrypto_r.sp0,200000000,,2.0747,0.0795,,0.0788,99.11,0.0001,0.18,0.0003,0.33,0.0003,0.38
750.sealcrypto_r.sp1,200000003,,1.8779,0.2478,,0.2464,99.44,0.0002,0.09,0.0005,0.22,0.0006,0.26
750.sealcrypto_r.sp2,200000003,,2.018,0.0079,,0.006,75.86,0.0003,4.38,0.0007,8.58,0.0009,11.18
753.ns3_r.sp0,200000000,,1.6248,3.5162,,1.1283,32.09,1.0967,31.19,0.9389,26.7,0.3523,10.02
753.ns3_r.sp1,200000003,,1.6948,2.9944,,0.8188,27.34,0.9603,32.07,0.9102,30.4,0.3051,10.19
753.ns3_r.sp2,200000003,,1.6094,3.6639,,1.2124,33.09,1.1465,31.29,0.9373,25.58,0.3678,10.04
777.zstd_r.sp0,200000000,,1.1671,4.3515,,4.2458,97.57,0.0002,0.0,0.0,0.0,0.1055,2.42
777.zstd_r.sp1,200000000,,1.1693,4.3841,,4.2525,97.0,0.0,0.0,0.0,0.0,0.1315,3.0
777.zstd_r.sp2,200000000,,2.2542,1.4453,,1.4441,99.92,0.0,0.0,0.0,0.0,0.0011,0.08
swe_agent_w00000,200000001,,1.0509,8.1758,,4.8824,59.72,1.9926,24.37,0.6394,7.82,0.6614,8.09
swe_agent_w00001,200000003,,1.8492,3.6445,,0.3023,8.29,3.1445,86.28,0.1446,3.97,0.0531,1.46
swe_agent_w00002,200000001,,1.9623,3.6332,,0.25,6.88,3.1859,87.69,0.1449,3.99,0.0523,1.44
swe_agent_w00003,200000002,,1.3166,1.8111,,0.9104,50.27,0.4684,25.86,0.3466,19.14,0.0857,4.73
